シリーズ,商品コード,年月,実績,ハイブリッド,現行計画
シャード,BBBBB000266,202406,1,1.2011,1.182291667
シャード,BBBBB000267,202406,2,0.5147,1.7734375
シャード,BBBBB000268,202406,3,0.3432,0
シャード,BBBBB000269,202406,3,1.0295,1.7734375
シャード,BBBBB000270,202406,1,0.5147,0.591145833
シャード,BBBBB000271,202406,0,1.8874,3.546875
シャード,BBBBB000272,202406,2,0.6863,0
シャード,BBBBB000273,202406,7,0.8579,1.182291667
シャード,BBBBB000274,202406,1,1.5442,2.364583333
シャード,BBBBB000275,202406,0,2.7453,0.591145833
シャード,BBBBB000276,202406,0,2.059,0
シャード,BBBBB000277,202406,2,0.1716,0
シャード,BBBBB000278,202406,0,2.059,1.7734375
シャード,BBBBB000279,202406,0,0.6863,5.3203125
シャード,BBBBB000280,202406,0,0.8579,0
シャード,BBBBB000281,202406,3,0.6863,0
シャード,BBBBB000282,202406,3,1.8874,1.7734375
シャード,BBBBB000283,202406,2,2.4021,1.7734375
シャード,BBBBB000284,202406,2,2.059,0
シャード,BBBBB000285,202406,0,1.8874,1.182291667
シャード,BBBBB000286,202406,1,2.7453,2.955729167
シャード,BBBBB000287,202406,0,1.5442,3.546875
シャード,BBBBB000288,202406,0,1.5442,0
シャード,BBBBB000289,202406,0,1.3726,0.591145833
シャード,BBBBB000290,202406,1,1.0295,0
シャード,BBBBB000291,202406,4,2.4021,0.591145833
シャード,BBBBB000292,202406,3,5.319,0.591145833
シャード,BBBBB000293,202406,1,0.6863,1.7734375
シャード,BBBBB000294,202406,0,0,0
シャード,BBBBB000295,202406,0,0,0
シャード,BBBBB000296,202406,3,0,0
シャード,BBBBB000297,202406,0,0.3432,1.7734375
シャード,BBBBB000298,202406,2,0.5147,0
シャード,BBBBB000299,202406,0,0.5147,3.546875
シャード,BBBBB000300,202406,0,0.1716,0.591145833
シャード,BBBBB000301,202406,1,0.3432,0.591145833
シャード,BBBBB000302,202406,1,0.1716,0
シャード,BBBBB000303,202406,1,1.0295,2.364583333
シャード,BBBBB000304,202406,1,0.5147,1.182291667
シャード,BBBBB000305,202406,1,1.8874,0.591145833
シャード,BBBBB000306,202406,0,0.1716,0.591145833
シャード,BBBBB000307,202406,2,2.2305,5.911458333
シャード,BBBBB000308,202406,1,1.3726,0.591145833
シャード,BBBBB000309,202406,0,1.8874,0.591145833
シャード,BBBBB000310,202406,1,0.5147,0
シャード,BBBBB000311,202406,2,1.0295,0
シャード,BBBBB000312,202406,2,1.8874,2.364583333
シャード,BBBBB000313,202406,2,1.5442,0.591145833
シャード,BBBBB000314,202406,3,1.0295,1.182291667
シャード,BBBBB000315,202406,0,1.0295,1.182291667
シャード,BBBBB000316,202406,2,1.3726,1.182291667
シャード,BBBBB000317,202406,1,0.8579,0.591145833
シャード,BBBBB000318,202406,1,1.5442,1.182291667
シャード,BBBBB000319,202406,2,0.5147,1.182291667
シャード,BBBBB000320,202406,1,1.2011,0.591145833
シャード,BBBBB000321,202406,0,1.5442,0.591145833
シャード,BBBBB000322,202406,0,0.6863,0.591145833
シャード,BBBBB000323,202406,0,3.26,2.364583333
シャード,BBBBB000324,202406,0,1.8874,1.182291667
シャード,BBBBB000325,202406,0,1.5442,1.182291667
シャード,BBBBB000326,202406,0,3.0884,4.138020833
シャード,BBBBB000327,202406,0,2.7453,1.182291667
シャード,BBBBB000328,202406,0,2.059,2.955729167
シャード,BBBBB000329,202406,1,2.4021,1.7734375
シャード,BBBBB000330,202406,0,0,0
シャード,BBBBB000331,202406,2,0,0
シャード,BBBBB000332,202406,0,0.6863,0.591145833
シャード,BBBBB000333,202406,0,1.7158,0.591145833
シャード,BBBBB000334,202406,0,0.3432,0
シャード,BBBBB000335,202406,0,1.2011,1.182291667
シャード,BBBBB000336,202406,2,1.3726,2.955729167
シャード,BBBBB000337,202406,4,1.3726,0
シャード,BBBBB000338,202406,0,0.6863,0
シャード,BBBBB000339,202406,0,0.8579,0
シャード,BBBBB000340,202406,0,0,0
シャード,BBBBB000341,202406,1,0.3432,0.591145833
シャード,BBBBB000342,202406,0,0,2.364583333
シャード,BBBBB000343,202406,1,2.9169,2.364583333
シャード,BBBBB000344,202406,0,0.6863,0
シャード,BBBBB000345,202406,1,0.3432,0
シャード,BBBBB000346,202406,0,1.2011,1.182291667
シャード,BBBBB000347,202406,3,0.5147,2.364583333
シャード,BBBBB000348,202406,4,2.059,1.182291667
シャード,BBBBB000349,202406,3,0.1716,0.591145833
シャード,BBBBB000350,202406,1,1.2011,1.182291667
シャード,BBBBB000351,202406,0,0.6863,2.955729167
シャード,BBBBB000352,202406,1,2.2305,2.364583333
シャード,BBBBB000353,202406,0,0.5147,1.182291667
シャード,BBBBB000354,202406,0,1.7158,0.591145833
シャード,BBBBB000355,202406,0,1.7158,0.591145833
シャード,BBBBB000356,202406,3,5.319,1.7734375
シャード,BBBBB000357,202406,2,1.7158,2.364583333
シャード,BBBBB000358,202406,2,0.1716,1.182291667
シャード,BBBBB000359,202406,0,3.0884,3.546875
シャード,BBBBB000360,202406,2,2.7453,4.138020833
シャード,BBBBB000361,202406,1,0,0
シャード,BBBBB000362,202406,2,0.5147,1.7734375
シャード,BBBBB000363,202406,3,0.1716,1.7734375
シャード,BBBBB000364,202406,0,0,0.591145833
シャード,BBBBB000365,202406,1,0,0
シャード,BBBBB000366,202406,1,0,1.182291667
シャード,BBBBB000367,202406,2,0.3432,1.182291667
シャード,BBBBB000368,202406,1,0.3432,0
シャード,BBBBB000369,202406,0,1.7158,0
シャード,BBBBB000370,202406,2,0,0
シャード,BBBBB000371,202406,4,0.5147,0
シャード,BBBBB000372,202406,1,0.5147,0.591145833
シャード,BBBBB000373,202406,2,0.6863,0.591145833
シャード,BBBBB000374,202406,3,0.1716,0
シャード,BBBBB000375,202406,0,1.3726,0
シャード,BBBBB000376,202406,0,1.0295,1.182291667
シャード,BBBBB000377,202406,0,0.5147,0
シャード,BBBBB000378,202406,0,0,0
シャード,BBBBB000379,202406,2,0.8579,2.364583333
シャード,BBBBB000380,202406,0,0.6863,1.182291667
シャード,BBBBB000381,202406,0,0.5147,0
シャード,BBBBB000382,202406,0,0.8579,1.182291667
シャード,BBBBB000383,202406,0,0.3432,0
シャード,BBBBB000384,202406,0,0.6863,0
シャード,BBBBB000385,202406,1,1.0295,0.591145833
シャード,BBBBB000386,202406,0,0.5147,0.591145833
シャード,BBBBB000387,202406,2,0.6863,4.138020833
シャード,BBBBB000388,202406,3,0.5147,2.364583333
シャード,BBBBB000389,202406,0,0.5147,0
シャード,BBBBB000390,202406,1,0.6863,1.7734375
シャード,BBBBB000391,202406,1,2.9169,1.182291667
シャード,BBBBB000392,202406,4,0.3432,1.182291667
シャード,BBBBB000393,202406,2,0.5147,0
シャード,BBBBB000394,202406,1,1.8874,0.591145833
シャード,BBBBB000395,202406,1,1.2011,0
シャード,BBBBB000396,202406,1,1.5442,2.955729167
シャード,BBBBB000397,202406,2,1.5442,2.955729167
シャード,BBBBB000398,202406,1,0.3432,0
シャード,BBBBB000399,202406,0,0.6863,0
シャード,BBBBB000400,202406,1,0.8579,0.591145833
シャード,BBBBB000401,202406,3,0.1716,0.591145833
シャード,BBBBB000402,202406,0,1.5442,0
