品目,マッピング,年月,実績,森①,森②,計画
本体_旧,DACA1旧,202511,49755,"52,260.62","51,221.23",46424.45484
本体_新,DACA2新,202511,3308,"3,677.61","3,963.29",4847.444315
本体_旧,DACA2旧,202511,14375,"14,005.39","13,719.71",12835.55569
本体_新,EAAA1新,202511,24725,"16,680.22","16,717.20",20446.54918
本体_旧,EAAA1旧,202511,49862,"57,906.78","57,869.80",54140.45082
本体_新,EAAA2新,202511,7425,"4,357.94","3,861.95",3861.946248
本体_旧,EAAA2旧,202511,6663,"9,730.06","10,226.05",10226.05375
本体_新,EABA1新,202511,381,181.54,174.62,174.620937
本体_旧,EABA1旧,202511,256,455.46,462.38,462.379063
本体_新,EABA2新,202511,276,217.56,198.92,136.7909695
本体_旧,EABA2旧,202511,223,281.44,300.08,362.2090305
本体_新,EACA1新,202511,4021,"1,326.06","1,396.87",1537.048028
本体_旧,EACA1旧,202511,1586,"4,280.94","4,210.13",4069.951972
本体_新,EACA2新,202511,394,126.45,129.05,141.9994432
本体_旧,EACA2旧,202511,124,391.55,388.95,376.0005568
本体_新,FAAA1新,202511,3924,"1,617.12","1,795.28",2195.782897
本体_旧,FAAA1旧,202511,4086,"6,392.88","6,214.72",5814.217103
本体_新,FAAA2新,202511,901,551.66,518.11,518.1060767
本体_旧,FAAA2旧,202511,989,"1,338.34","1,371.89",1371.893923
本体_新,FACA1新,202511,419,222.02,267.46,421.0639862
本体_旧,FACA1旧,202511,1117,"1,313.98","1,268.54",1114.936014
本体_新,FACA2新,202511,80,56.16,60.31,60.30864385
本体_旧,FACA2旧,202511,140,163.84,159.69,159.6913561
