シリーズ,商品コード,年月,実績,ハイブリッド,現行計画
イモス,CCCCC000487,202406,25,24.5758,27.67739589
イモス,CCCCC000488,202406,36,34.5646,24.90930592
イモス,CCCCC000489,202406,35,27.4297,38.66972876
イモス,CCCCC000490,202406,17,27.4297,23.76094161
イモス,CCCCC000491,202406,35,32.3449,23.98673903
イモス,CCCCC000492,202406,30,28.6981,28.90709576
イモス,CCCCC000493,202406,32,38.5284,34.19823549
イモス,CCCCC000494,202406,27,35.833,28.59957346
イモス,CCCCC000495,202406,39,23.9415,24.60178362
イモス,CCCCC000496,202406,21,32.0278,20.60399378
イモス,CCCCC000497,202406,34,28.6981,29.9720368
イモス,CCCCC000498,202406,26,31.235,20.29647149
イモス,CCCCC000499,202406,29,28.381,21.82588276
